patient_id,national_dex_number,patient_name,region,primary_type,secondary_type,hp,attack,defense,special_attack,special_defense,speed,stat_total
49,811,Thwackey,Galar,Grass,,70,85,70,55,60,80,420
50,867,Runerigus,Galar,Ground,Ghost,58,95,145,50,105,30,483
51,278,Wingull,Hoenn,Water,Flying,40,30,30,55,30,85,270
52,298,Azurill,Hoenn,Normal,Fairy,50,20,40,20,40,20,190
53,349,Feebas,Hoenn,Water,,20,15,20,10,55,80,200
54,314,Illumise,Hoenn,Bug,,65,47,75,73,85,85,430
55,280,Ralts,Hoenn,Psychic,Fairy,28,25,25,45,35,40,198
56,264,Linoone,Hoenn,Normal,,78,70,61,50,61,100,420
57,344,Claydol,Hoenn,Ground,Psychic,60,70,105,70,120,75,500
58,359,Absol,Hoenn,Dark,,65,130,60,75,60,75,465
59,261,Poochyena,Hoenn,Dark,,35,55,35,30,30,35,220
60,315,Roselia,Hoenn,Grass,,50,60,45,100,80,65,400
61,273,Seedot,Hoenn,Grass,,40,40,50,30,30,30,220
62,297,Hariyama,Hoenn,Fight,,144,120,60,40,60,50,474
63,266,Silcoon,Hoenn,Bug,,50,35,55,25,25,15,205
64,272,Ludicolo,Hoenn,Water,Grass,80,70,70,90,100,70,480
65,383,Groudon,Hoenn,Ground,,100,150,140,100,90,90,670
66,373,Salamence,Hoenn,Dragon,Flying,95,135,80,110,80,100,600
67,294,Loudred,Hoenn,Normal,,84,71,43,71,43,48,360
68,375,Metang,Hoenn,Steel,Psychic,60,75,100,55,80,50,420
69,285,Shroomish,Hoenn,Grass,,60,40,60,40,60,35,295
70,312,Minun,Hoenn,Electric,,60,40,50,75,85,95,405
71,311,Plusle,Hoenn,Electric,,60,50,40,85,75,95,405
72,265,Wurmple,Hoenn,Bug,,45,45,35,20,30,20,195
73,269,Dustox,Hoenn,Bug,Poison,60,50,70,50,90,65,385
74,350,Milotic,Hoenn,Water,,95,60,79,100,125,81,540
75,325,Spoink,Hoenn,Psychic,,60,25,35,70,80,60,330
76,221,Piloswine,Johto,Ice,Ground,100,100,80,60,60,50,450
77,192,Sunflora,Johto,Grass,,75,75,55,105,85,30,425
78,196,Espeon,Johto,Psychic,,65,65,60,130,95,110,525
79,185,Sudowoodo,Johto,Rock,,70,100,115,30,65,30,410
80,194,Wooper,Johto,Water,Ground,55,45,45,25,25,15,210
81,228,Houndour,Johto,Dark,Fire,45,60,30,80,50,65,330
82,234,Stantler,Johto,Normal,,73,95,62,85,65,85,465
83,231,Phanpy,Johto,Ground,,90,60,60,40,40,40,330
84,242,Blissey,Johto,Normal,,255,10,10,75,135,55,540
85,187,Hoppip,Johto,Grass,Flying,35,35,40,35,55,50,250
86,206,Dunsparce,Johto,Normal,,100,70,70,65,65,45,415
87,229,Houndoom,Johto,Dark,Fire,75,90,50,110,80,95,500
88,156,Quilava,Johto,Fire,,58,64,58,80,65,80,405
89,240,Magby,Johto,Fire,,45,75,37,70,55,83,365
90,162,Furret,Johto,Normal,,85,76,64,45,55,90,415
91,217,Ursaring,Johto,Normal,,90,130,75,75,75,55,500
92,248,Tyranitar,Johto,Rock,Dark,100,134,110,95,100,61,600
93,226,Mantine,Johto,Water,Flying,85,40,70,80,140,70,485
94,161,Sentret,Johto,Normal,,35,46,34,35,45,20,215
95,251,Celebi,Johto,Psychic,Grass,100,100,100,100,100,100,600
96,207,Gligar,Johto,Ground,Flying,65,75,105,35,65,85,430
97,222,Corsola,Johto,Water,Rock,65,55,95,65,95,35,410
98,225,Delibird,Johto,Ice,Flying,45,55,45,65,45,75,330
99,236,Tyrogue,Johto,Fight,,35,35,35,35,35,35,210
100,166,Ledian,Johto,Bug,Flying,55,35,50,55,110,85,390
101,673,Gogoat,Kalos,Grass,,123,100,62,97,81,68,531
102,708,Phantump,Kalos,Ghost,Grass,43,70,48,50,60,38,309
103,667,Litleo,Kalos,Fire,Normal,62,50,58,73,54,72,369
104,717,Yveltal,Kalos,Dark,Flying,126,131,95,131,98,99,680
105,687,Malamar,Kalos,Dark,Psychic,86,92,88,68,75,73,482
106,657,Frogadier,Kalos,Water,,54,63,52,83,56,97,405
107,676,Furfrou,Kalos,Normal,,75,80,60,65,90,102,472
108,697,Tyrantrum,Kalos,Rock,Dragon,82,121,119,69,59,71,521
109,660,Diggersby,Kalos,Normal,Ground,85,56,77,50,77,78,423
110,651,Quilladin,Kalos,Grass,,61,78,95,56,58,57,405
111,711,Gourgeist,Kalos,Ghost,Grass,65,90,122,58,75,84,494
112,680,Doublade,Kalos,Steel,Ghost,59,110,150,45,49,35,448
113,655,Delphox,Kalos,Fire,Psychic,75,69,72,114,100,104,534
114,682,Spritzee,Kalos,Fairy,,78,52,60,63,65,23,341
115,659,Bunnelby,Kalos,Normal,,38,36,38,32,36,57,237
116,685,Slurpuff,Kalos,Fairy,,82,80,86,85,75,72,480
117,695,Heliolisk,Kalos,Electric,Normal,62,55,52,109,94,109,481
118,693,Clawitzer,Kalos,Water,,71,73,88,120,89,59,500
119,653,Fennekin,Kalos,Fire,,40,45,40,62,60,60,307
120,656,Froakie,Kalos,Water,,41,56,40,62,44,71,314
121,670,Floette,Kalos,Fairy,,54,45,47,75,98,52,371
122,703,Carbink,Kalos,Rock,Fairy,50,50,150,50,150,50,500
123,684,Swirlix,Kalos,Fairy,,62,48,66,59,57,49,341
124,706,Goodra,Kalos,Dragon,,90,100,70,110,150,80,600
125,716,Xerneas,Kalos,Fairy,,126,131,95,131,98,99,680
126,147,Dratini,Kanto,Dragon,,41,64,45,50,50,50,300
127,104,Cubone,Kanto,Ground,,50,50,95,40,50,35,320
128,63,Abra,Kanto,Psychic,,25,20,15,105,55,90,310
129,131,Lapras,Kanto,Water,Ice,130,85,80,85,95,60,535
130,108,Lickitung,Kanto,Normal,,90,55,75,60,75,30,385
131,145,Zapdos,Kanto,Electric,Flying,90,90,85,125,90,100,580
132,56,Mankey,Kanto,Fight,,40,80,35,35,45,70,305
133,98,Krabby,Kanto,Water,,30,105,90,25,25,50,325
134,141,Kabutops,Kanto,Rock,Water,60,115,105,65,70,80,495
135,60,Poliwag,Kanto,Water,,40,50,40,40,40,90,300
136,32,Nidoran,Kanto,Poison,,46,57,40,40,40,50,273
137,92,Gastly,Kanto,Ghost,Poison,30,35,30,100,35,80,310
138,15,Beedrill,Kanto,Bug,Poison,65,90,40,45,80,75,395
139,48,Venonat,Kanto,Bug,Poison,60,55,50,40,55,45,305
140,3,Venasaur,Kanto,Grass,Poison,80,82,83,100,100,80,525
141,97,Hypno,Kanto,Psychic,,85,73,70,73,115,67,483
142,134,Vaporeon,Kanto,Water,,130,65,60,110,95,65,525
143,123,Scyther,Kanto,Bug,Flying,70,110,80,55,80,105,500
144,130,Gyarados,Kanto,Water,Flying,95,125,79,60,100,81,540
145,120,Staryu,Kanto,Water,,30,45,55,70,55,85,340
146,6,Charizard,Kanto,Fire,Flying,78,84,78,109,85,100,534
147,138,Omanyte,Kanto,Rock,Water,35,40,100,90,55,35,355
148,150,Mewtwo,Kanto,Psychic,,106,110,90,154,90,130,680
149,121,Starmie,Kanto,Water,Psychic,60,75,85,100,85,115,520
150,116,Horsea,Kanto,Water,,30,40,70,70,25,60,295
151,1012,Poltchageist,Paldea,Grass,Ghost,40,45,45,74,54,50,308
152,944,Shroodle,Paldea,Poison,Normal,40,65,35,40,35,75,290
153,995,Iron Thorns,Paldea,Rock,Electric,100,134,110,70,84,72,570
154,912,Quaxly,Paldea,Water,,55,65,45,50,45,50,310
155,996,Frigibax,Paldea,Dragon,Ice,65,75,45,35,45,55,320
156,909,Fuecoco,Paldea,Fire,,67,45,59,63,40,36,310
157,987,Flutter Mane,Paldea,Ghost,Fairy,55,55,55,135,135,135,570
158,988,Slither Wing,Paldea,Bug,Fight,85,135,79,85,105,81,570
159,997,Arctibax,Paldea,Dragon,Ice,90,95,66,45,65,62,423
160,948,Toedscool,Paldea,Ground,Grass,40,40,35,50,100,70,335
161,1013,Sinistcha,Paldea,Grass,Ghost,71,60,106,121,80,70,508
162,989,Sandy Shocks,Paldea,Electric,Ground,85,81,97,121,85,101,570
163,964,Palafin,Paldea,Water,,100,70,72,53,62,100,457
164,1003,Ting-Lu,Paldea,Dark,Ground,155,110,125,55,80,45,570
165,942,Maschiff,Paldea,Dark,,60,78,60,40,51,51,340
166,960,Wiglett,Paldea,Water,,10,55,25,35,25,95,245
167,974,Cetoddle,Paldea,Ice,,108,68,45,30,40,43,334
168,939,Bellibolt,Paldea,Electric,,109,64,91,103,83,45,495
169,1008,Miraidon,Paldea,Electric,Dragon,100,85,100,135,115,135,670
170,983,Kingambit,Paldea,Dark,Steel,100,135,120,60,85,50,550
171,993,Iron Jugulis,Paldea,Dark,Flying,94,80,86,122,80,108,570
172,1016,Fezandipiti,Paldea,Poison,Fairy,88,91,82,70,125,99,555
173,970,Glimmora,Paldea,Rock,Poison,83,55,90,130,81,86,525
174,1025,Pecharunt,Paldea,Poison,Ghost,88,88,160,88,88,88,600
175,928,Smoliv,Paldea,Grass,Normal,41,35,45,58,51,30,260
176,406,Budew,Sinnoh,Grass,Poison,40,30,35,50,70,55,280
177,393,Piplup,Sinnoh,Water,,53,51,53,61,56,40,314
178,466,Electivire,Sinnoh,Electric,,75,123,67,95,85,95,540
179,462,Magnezone,Sinnoh,Electric,Steel,70,70,115,130,90,60,535
180,410,Shieldon,Sinnoh,Rock,Steel,30,42,118,42,88,30,350
181,427,Buneary,Sinnoh,Normal,,55,66,44,44,56,85,350
182,441,Chatot,Sinnoh,Normal,Flying,76,65,45,92,42,91,411
183,428,Lopunny,Sinnoh,Normal,,65,76,84,54,96,105,480
184,483,Dialga,Sinnoh,Steel,Dragon,100,120,120,150,100,90,680
185,435,Skuntank,Sinnoh,Poison,Dark,103,93,67,71,61,84,479
186,419,Floatzel,Sinnoh,Water,,85,105,55,85,50,115,495
187,432,Purugly,Sinnoh,Normal,,71,82,64,64,59,112,452
188,455,Carnivine,Sinnoh,Grass,,74,100,72,90,72,46,454
189,460,Abomasnow,Sinnoh,Grass,Ice,90,92,75,92,85,60,494
190,491,Darkrai,Sinnoh,Dark,,70,90,90,135,90,125,600
191,421,Cherrim,Sinnoh,Grass,,70,60,70,87,78,85,450
192,454,Toxicroak,Sinnoh,Poison,Fight,83,106,65,86,65,85,490
193,474,Porygon-Z,Sinnoh,Normal,,85,80,70,135,75,90,535
194,401,Kricketot,Sinnoh,Bug,,37,25,41,25,41,25,194
195,484,Palkia,Sinnoh,Water,Dragon,90,120,100,150,120,100,680
196,447,Riolu,Sinnoh,Fight,,40,70,40,35,40,60,285
197,431,Glameow,Sinnoh,Normal,,49,55,42,42,37,85,310
198,472,Gliscor,Sinnoh,Ground,Flying,75,95,125,45,75,95,510
199,448,Lucario,Sinnoh,Fight,Steel,70,110,70,115,70,90,525
200,473,Mamoswine,Sinnoh,Ice,Ground,110,130,80,70,60,80,530
201,597,Ferroseed,Unova,Grass,Steel,44,50,91,24,86,10,305
202,605,Elgyem,Unova,Psychic,,55,55,55,85,55,30,335
203,643,Reshiram,Unova,Dragon,Fire,100,120,100,150,120,90,680
204,522,Blitzle,Unova,Electric,,45,60,32,50,32,76,295
205,571,Zoroark,Unova,Dark,,60,105,60,120,60,105,510
206,626,Bouffalant,Unova,Normal,,95,110,95,40,95,55,490
207,575,Gothorita,Unova,Psychic,,60,45,70,75,85,55,390
208,618,Stunfisk,Unova,Ground,Electric,109,66,84,81,99,32,471
209,634,Zweilous,Unova,Dark,Dragon,72,85,70,65,70,58,420
210,596,Galvantula,Unova,Bug,Electric,70,77,60,97,60,108,472
211,582,Vanillite,Unova,Ice,,36,50,50,65,60,44,305
212,509,Purrloin,Unova,Dark,,41,50,37,50,37,66,281
213,539,Sawk,Unova,Fight,,75,125,75,30,75,85,465
214,610,Axew,Unova,Dragon,,46,87,60,30,40,57,320
215,525,Boldore,Unova,Rock,,70,105,105,50,40,20,390
216,567,Archeops,Unova,Rock,Flying,75,140,65,112,65,110,567
217,585,Deerling,Unova,Normal,Grass,60,60,50,40,50,75,335
218,624,Pawniard,Unova,Dark,Steel,45,85,70,40,40,60,340
219,523,Zebstrika,Unova,Electric,,75,100,63,80,63,116,497
220,520,Tranquill,Unova,Normal,Flying,62,77,62,50,42,65,358
221,611,Fraxure,Unova,Dragon,,66,117,70,40,50,67,410
222,570,Zorua,Unova,Dark,,40,65,40,80,40,65,330
223,528,Swoobat,Unova,Psychic,Flying,67,57,55,77,55,114,425
224,595,Joltik,Unova,Bug,Electric,50,47,50,57,50,65,319
225,554,Darumaka,Unova,Fire,,70,90,45,15,45,50,315
